"","IGF2R"
"ADAM15",0.600427518409861
"PARD3",0.600417918663191
"GKN1",0.600321835572906
"DES",0.600139313201024
"ITGBL1",0.599980784186221
"POLM",0.599774171518227
"ACOT9",0.599716575314305
"GIMAP8",0.599298619215055
"LAMC1",0.599005760713136
"CDC37",0.599000875693427
"MKNK2",0.598530167451686
"TPT1",0.598333314185193
"JUP",0.59828528229034
"RBM28",0.598159804659101
"YARS2",0.597770212844516
"SUPT6H",0.597669950245338
"TRMT2B",0.59761224163871
"LAMA2",0.597415077804832
"TNFSF14",0.597229935927683
"RPL27",0.597050788149148
"ADCY4",0.596721568376898
"SVEP1",0.596564977868372
"EIF3E",0.596315974601362
"DPM1",0.596310895818621
"MEOX2",0.596132133680402
"FILIP1L",0.59609012718672
"STAT5A",0.595907197425996
"ASXL1",0.595844850501339
"NCOA3",0.595618439240767
"EEF1D",0.595537747133323
"SRF",0.595470277107744
"TMBIM1",0.595163209124888
"AAAS",0.595132850348203
"IER2",0.594682890176356
"ITGB1",0.594490762596944
"ADGRL4",0.594345973410168
"FURIN",0.594202571227825
"SIX5",0.594183072218399
"EXOC3L1",0.593927525209917
"EIF1AX",0.593894867009562
"GNL2",0.593697464972824
"ENG",0.593674220384441
"TCIM",0.593386029015322
"NAA50",0.592607731197917
"RIN3",0.59212012165797
"TMEM131L",0.591809783793655
"SLAIN2",0.591755351264992
"ALDH16A1",0.591751939660792
"ADSL",0.591651466392617
"TBXA2R",0.591571479988003
"ATF1",0.591482310392131
"EMP1",0.591469139835186
"EARS2",0.591230501366185
"THOC5",0.591199506547499
"TINF2",0.591132900424876
"PPARG",0.591078334985211
"PIM1",0.591046657133971
"MVP",0.590936402377814
"SURF4",0.590796661014567
"LYVE1",0.590195044999323
"IL32",0.590148199294684
"CD163",0.590023796375605
"SVIL",0.589984396473512
"FYCO1",0.589980079589529
"CITED4",0.589941897027179
"MAP3K7CL",0.589925292634594
"CNPPD1",0.589893863979058
"ATF4",0.589591509321927
"ITPRIPL2",0.589580385199653
"HDAC7",0.589389516973783
"KLHL24",0.58926555454833
"DCUN1D3",0.589123117584587
"KANSL3",0.589118424893168
"ANAPC16",0.588769345098182
"APOL3",0.588769345098182
"HMCN2",0.588751835275085
"DDX21",0.588673274388368
"FMO2",0.588638002120574
"ART4",0.588469472578738
"RARA",0.588048814774573
"KLHL36",0.587949839721548
"PDCD1LG2",0.58789623241847
"CARD10",0.587619207933359
"TOR1AIP1",0.587568461225501
"PRG4",0.587094098435743
"HNRNPAB",0.587049993299689
"AVPR1A",0.586825958980527
"COL4A1",0.586603600182741
"FAM20A",0.586561069320546
"KLHL30",0.586551164486216
"HAL",0.586425353501271
"PECAM1",0.586089309270234
"BCL2L12",0.586084288440251
"EIF2A",0.586079365223376
"PPP1R15A",0.58594108531309
"PXN",0.58594108531309
"MIF4GD",0.585186625263159
"SAA1",0.585088755930838
"MAP1LC3C",0.585003720006139
"INO80",0.584830869508039
"ABCC1",0.584534447967714
"ADAMTS15",0.584090733174522
"PREP",0.584023838606904
"RPS6KB1",0.583967907156404
"MYOC",0.583530172778465
"CD151",0.58316923724206
"ATF3",0.582702898066402
"RSL1D1",0.582542698698247
"GJA4",0.582534778361247
"DHX37",0.582338127657047
"EGR1",0.582328658899935
"NATD1",0.582043684283074
"GATA6",0.581968516416628
"TICAM2",0.581826757531192
"PACSIN2",0.581560130129993
"CCN2",0.581440047509689
"ZNF280D",0.581162913186775
"NUBP1",0.580905496381223
"SMAD3",0.580805547108227
"MYZAP",0.58078928192486
"NTN4",0.580695535263807
"RPS9",0.580561513089542
"DHX38",0.580408831465443
"MEGF6",0.580360790342117
"SMAD5",0.580302667016072
"S100A4",0.580273321720423
"SERPINB2",0.579822180868375
"SPON2",0.579744970877039
"NME2",0.579696938982186
"RND3",0.579594592310897
"DPT",0.578935999535806
"SBNO2",0.5785656014348
"TWIST2",0.578247895112574
"ABHD5",0.578215451909434
"UACA",0.578157281307583
"FAS",0.577776712889736
"NDUFV3",0.577724942349354
"STIM1",0.577539221408077
"RPS14",0.577535503713796
"ITGA5",0.577261172323126
"HECTD3",0.577152193286546
"POLR3C",0.577115265164287
"TRIM25",0.577010845191877
"TRMT10C",0.57683255940373
"RCN3",0.576818708385985
"RNF217",0.576649543293494
"FTSJ1",0.576604285447055
"MYCT1",0.576486137606141
"CALHM2",0.576376223532111
"LDAF1",0.576280152822297
"MOCS1",0.576225594432481
"PTX3",0.576150667819737
"RRAS",0.576142578763056
"POLR3D",0.576024813591189
"PTBP1",0.575998483078497
"PDCD11",0.575984883612934
"PALM2AKAP2",0.575954092759475
"DDX20",0.575885887189278
"KDM6A",0.575804165731766
"ABCF1",0.575645498708707
"RPS3",0.575507966066695
"THRAP3",0.575497767845484
"PLEKHA4",0.575463551788873
"CCL23",0.575259663951109
"ELL",0.575169365964424
"PCYT1A",0.57497658522404
"STOML2",0.574797685707169
"ITSN2",0.574791056820172
"MFAP5",0.57466738772457
"PCOLCE2",0.57460607490431
"JUNB",0.57450949433805
"GPBAR1",0.574123130099684
"PCIF1",0.574036275676475
"COL12A1",0.573686243657305
"CAVIN3",0.573494102237676
"MAMDC2",0.573398352275746
"ZNF282",0.573364081867973
"IL17RC",0.573353515105036
"SCN4A",0.573325713250789
"RPAP1",0.573152352932681
"SEC13",0.573144091973317
"PLP2",0.572601966655349
"TMEM255B",0.572537252287401
"RPLP0",0.572505900559107
"PKN3",0.572372547639248
"PSMB1",0.572155931490248
"ITPRIP",0.572087339540916
"TRPC4AP",0.572018742322633
"ZC3H12A",0.571891816628907
"GIMAP6",0.571840328751233
"DHX16",0.571812864815922
"FGB",0.571768931916903
"PCDH12",0.571668975867147
"WDR81",0.571442304221536
"APH1A",0.571435453067451
"ITGB5",0.571305074356071
"EIF3L",0.571209008259828
"COL6A3",0.571085441151591
"NOD1",0.570896600752559
"MXRA5",0.57085529866381
"YIF1A",0.570718364798941
"GBE1",0.570666797407265
"G3BP1",0.57052622799305
"ZNF524",0.570419839523612
"CSDE1",0.570406142489368
"SEC16A",0.570268781284533
"STBD1",0.570255085904393
"GIMAP5",0.570238022784213
"APPL1",0.5701520516353
"FBXL12",0.570104010511974
"MAN1A1",0.570056215104915
"TCIRG1",0.569942841101227
"RASIP1",0.569760737964831
"TSC22D2",0.569596237864604
"FCN1",0.569502867287528
"REXO2",0.569493492661385
"TEAD1",0.569356043786058
"SH3GLB1",0.569239653286851
"GRK5",0.56921192733893
"PLOD1",0.568690566746951
"MBNL1",0.568615223661272
"ATL2",0.568361411796852
"RBIS",0.568313379901999
"ADAMTS2",0.568099928592189
"DUSP22",0.568018071778249
"TAB2",0.568004432415729
"PLS3",0.567932381113519
"IFITM2",0.567833060953468
"XPNPEP2",0.567570103104847
"BTBD7",0.567547624786094
"SOCS3",0.567448805794643
"CCNL1",0.567441647519362
"LARP4B",0.567392250381445
"DCN",0.567208646320377
"ZNF784",0.566726728198625
"SDHD",0.566199976528462
"DDX19A",0.566154216363184
"EIF3F",0.56582930687023
"RIN2",0.565773996227408
"AGPAT2",0.565767689474784
"TNFAIP2",0.565589141629623
"AOC3",0.565400144935804
"EPAS1",0.565300943340895
"SQOR",0.5652393386314
"DPYD",0.565224705635062
"FAM25A",0.565014506577882
"FAM120A",0.56477568532201
"SYNE2",0.564621120025213
"PHETA1",0.564538604123362
"ELK3",0.564497935708215
"SHMT2",0.564473918607479
"LDHA",0.56447082831375
"PPAN",0.564332900974664
"POLR1H",0.56432981600306
"MRPL42",0.564315055151167
"GARRE1",0.56424607861772
"EIF3K",0.564230668839485
"SERPINE1",0.563969559492014
"LEP",0.563910852150036
"POFUT1",0.563728081361585
"SERTAD3",0.56371454110959
"AREG",0.563268642107937
"TCF7L1",0.563183055967419
"OTUD1",0.562896408518809
"FLT4",0.562650139329298
"TEAD2",0.562555550162946
"FBLN2",0.562472984656266
"MIDN",0.562432465044885
"WIPI1",0.562339385875034
"SCARA5",0.562249216428141
"MOB2",0.562238701496109
"INMT",0.56216361429742
"LSP1",0.562096225634576
"FBL",0.562021201676241
"HAND2",0.562003214611355
"RNF168",0.561839134316249
"ADGRG3",0.561696230532249
"HTRA2",0.561591512231281
"DHRS4",0.561554365587425
"ASB2",0.561344296705904
"LMCD1",0.561290183822757
"SLC25A30",0.561228171168467
"DAG1",0.56113554160512
"ADIPOQ",0.560934295251383
"COPZ2",0.560881902913725
"B4GALT1",0.560847336396283
"APRT",0.560737803769361
"EGFR",0.560706144588591
"TMEM185B",0.560691985369877
"ABCC9",0.560636998734828
"RPL13",0.560580244830648
"B4GALT3",0.56048232387832
"CILP",0.560299149280893
"SELENOO",0.56023257513527
"MTG2",0.560101879572842
"NRBF2",0.560009615216431
"ATAD3A",0.559929864229344
"EIF4E2",0.559886652366827
"KIAA0040",0.559772300052062
"DIAPH2",0.559746313046992
"FOXN3",0.559635902346934
"TICAM1",0.5595186684417
"ZNF581",0.559502378755045
"TAP2",0.559318778325243
"PSMA2",0.559248779277597
"SCAF4",0.559075737224278
"CDV3",0.558960580988868
"ISY1",0.558958469900296
"MCEE",0.558843318990964
"MORC3",0.558828483913209
"SAA2",0.558734505621217
"VSIG10",0.558600975442823
"EIF2B5",0.558579124538975
"RHBDF1",0.558362965441892
"YTHDF2",0.558355154988639
"SLC35F6",0.558291493662908
"STAT6",0.558168035694865
"UFD1",0.558112173133651
"CD34",0.558088154879439
"VEGFA",0.55799992002644
"CTSB",0.557938490613727
